,fold,model,parameters,mae,mape,mse,rmse,r2,tweedie
0,1,LM,{'fit_intercept': False},0.14033788255009694,44922405981862.805,0.037693493849226524,0.19414812347593402,-0.1424208730064378,-0.1424208730064378
1,2,LM,{'fit_intercept': True},0.16388316326418442,27476513137241.695,0.048946163261691225,0.22123779799503346,-0.7398189930253214,-0.7398189930253214
2,3,LM,{'fit_intercept': True},0.14682852359106735,28696787301158.6,0.039591651955128024,0.1989765110638138,-0.5550789420340421,-0.5550789420340421
3,4,LM,{'fit_intercept': True},0.13130013650731254,42497492658118.76,0.03160429659337296,0.17777597304858989,-0.19829220960982497,-0.19829220960982497
4,5,LM,{'fit_intercept': True},0.15109550372462374,105712668466188.6,0.03149770288549116,0.1774759219880014,-0.0804524643548512,-0.08045246435485143
0,1,KNN,"{'metric': 'manhattan', 'n_neighbors': 29, 'weights': 'distance'}",0.09813614802061964,46034651162441.97,0.017517780445388147,0.13235475225842155,0.4690681073607589,0.4690681073607589
1,2,KNN,"{'metric': 'manhattan', 'n_neighbors': 29, 'weights': 'distance'}",0.09041310125697705,43126952876245.08,0.014661984915444707,0.12108668347694022,0.4788314725516639,0.4788314725516639
2,3,KNN,"{'metric': 'manhattan', 'n_neighbors': 29, 'weights': 'distance'}",0.08718848530137031,46872880433583.99,0.013039521283199023,0.11419072327995398,0.48783432970441865,0.48783432970441853
3,4,KNN,"{'metric': 'manhattan', 'n_neighbors': 29, 'weights': 'distance'}",0.08748167468030499,43073072763895.38,0.013474125304666197,0.11607810002177929,0.4891220142746755,0.4891220142746755
4,5,KNN,"{'metric': 'manhattan', 'n_neighbors': 29, 'weights': 'distance'}",0.09205565949785752,40492779617424.69,0.01532566881663974,0.12379688532689237,0.47429002359241423,0.4742900235924141
0,1,MLP,"{'activation': 'relu', 'hidden_layer_sizes': 19, 'max_iter': 200, 'random_state': 0}",0.13577560887978057,55657408683649.086,0.03395681347054286,0.18427374601538565,-0.02916892354701095,-0.02916892354701095
1,2,MLP,"{'activation': 'relu', 'hidden_layer_sizes': 19, 'max_iter': 200, 'random_state': 0}",0.1307395839517774,45961231948845.85,0.031489963486935585,0.17745411656801763,-0.11932852165196195,-0.11932852165196195
2,3,MLP,"{'activation': 'tanh', 'hidden_layer_sizes': 27, 'max_iter': 200, 'random_state': 0}",0.12604470164225481,78320746788435.97,0.025152727666572918,0.15859611491639042,0.012052410105651723,0.012052410105651723
3,4,MLP,"{'activation': 'tanh', 'hidden_layer_sizes': 27, 'max_iter': 200, 'random_state': 0}",0.12325889620320885,77445528801059.98,0.023851548200900158,0.15443946451895046,0.09565699993256571,0.09565699993256571
4,5,MLP,"{'activation': 'tanh', 'hidden_layer_sizes': 27, 'max_iter': 200, 'random_state': 0}",0.12995959855804726,66434408189706.73,0.02756039916842563,0.1660132499785051,0.05460721029769389,0.054607210297693776
0,1,DT,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 0}",0.13413308075773042,76496745284436.34,0.02974136715214631,0.17245685591517176,0.09859354608335946,0.09859354608335946
1,2,DT,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 0}",0.12543969834484364,70239358243573.82,0.026565677844110968,0.16298980901918675,0.055707990253223705,0.055707990253223705
2,3,DT,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 4, 'random_state': 0}",0.11449342382573245,67986355843908.71,0.020970226053915002,0.14481100114948106,0.17633250102581144,0.17633250102581133
3,4,DT,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 2, 'random_state': 0}",0.12581798605953304,81472848018270.06,0.02429899763566327,0.15588135756293398,0.07869173793767015,0.07869173793767015
4,5,DT,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 1, 'random_state': 0}",0.1294494462069293,68318874447873.91,0.02737908748271903,0.1654662729462383,0.0608266688515513,0.06082666885155119
